firstname,surname,team,position,searchable_name
LeSean,McCoy,PHI,RB,LeSean McCoy
Jamaal,Charles,KC,RB,Jamaal Charles
Calvin,Johnson Jr,DET,WR,Calvin Johnson Jr Megatron
A.J.,Green,CIN,WR,A.J. Green
Adrian,Peterson,MIN,RB,Adrian Peterson
Demaryius,Thomas,DEN,WR,Demaryius Thomas
Dez,Bryant,DAL,WR,Dez Bryant
Jimmy,Graham,NO,TE,Jimmy Graham
Eddie,Lacy,GB,RB,Eddie Lacy
Matt,Forte,CHI,RB,Matt Forte
Julio,Jones,ATL,WR,Julio Jones
Brandon,Marshall,CHI,WR,Brandon Marshall
Alshon,Jeffery,CHI,WR,Alshon Jeffery
Le'Veon,Bell,PIT,RB,Le'Veon Bell
Giovani,Bernard,CIN,RB,Giovani Bernard
Antonio,Brown,PIT,WR,Antonio Brown
Aaron,Rodgers,GB,QB,Aaron Rodgers
DeMarco,Murray,DAL,RB,DeMarco Murray
Randall,Cobb,GB,WR,Randall Cobb
Montee,Ball,DEN,RB,Montee Ball
Marshawn,Lynch,SEA,RB,Marshawn Lynch
Doug,Martin,TB,RB,Doug Martin
Peyton,Manning,DEN,QB,Peyton Manning
Jordy,Nelson,GB,WR,Jordy Nelson
Keenan,Allen,SD,WR,Keenan Allen
Drew,Brees,NO,QB,Drew Brees
Rob,Gronkowski,NE,TE,Rob Gronkowski
Arian,Foster,HOU,RB,Arian Foster
Julius,Thomas,DEN,TE,Julius Thomas
Zac,Stacy,STL,RB,Zac Stacy
Pierre,Garcon,WAS,WR,Pierre Garcon
Andrew,Luck,IND,QB,Andrew Luck
Cordarrelle,Patterson,MIN,WR,Cordarrelle Patterson
C.J.,Spiller,BUF,RB,C.J. Spiller
Alfred,Morris,WAS,RB,Alfred Morris
Andre,Ellington,ARI,RB,Andre Ellington
Victor,Cruz,NYG,WR,Victor Cruz
Matthew,Stafford,DET,QB,Matthew Stafford
Percy,Harvin,SEA,WR,Percy Harvin
Michael,Crabtree,SF,WR,Michael Crabtree
Michael,Floyd,ARI,WR,Michael Floyd
Larry,Fitzgerald,ARI,WR,Larry Fitzgerald
Reggie,Bush,DET,RB,Reggie Bush
Andre,Johnson,HOU,WR,Andre Johnson
Vincent,Jackson,TB,WR,Vincent Jackson
Jordan,Cameron,CLE,TE,Jordan Cameron
Shane,Vereen,NE,RB,Shane Vereen
T.Y.,Hilton,IND,WR,T.Y. Hilton
DeSean,Jackson,WAS,WR,DeSean Jackson
Cam,Newton,CAR,QB,Cam Newton
Nick,Foles,PHI,QB,Nick Foles
Sammy,Watkins,BUF,WR,Sammy Watkins
Ryan,Mathews,SD,RB,Ryan Mathews
Trent,Richardson,IND,RB,Trent Richardson
Wes,Welker,DEN,WR,Wes Welker
Torrey,Smith,BAL,WR,Torrey Smith
Roddy,White,ATL,WR,Roddy White
Kendall,Wright,TEN,WR,Kendall Wright
Vernon,Davis,SF,TE,Vernon Davis
Robert,Griffin III,WAS,QB,Robert Griffin III RG3
Ben,Tate,CLE,RB,Ben Tate
Julian,Edelman,NE,WR,Julian Edelman
Bishop,Sankey,TEN,RB,Bishop Sankey
Matt,Ryan,ATL,QB,Matt Ryan
Eric,Decker,NYJ,WR,Eric Decker
Ray,Rice,BAL,RB,Ray Rice
Jordan,Reed,WAS,TE,Jordan Reed
Jeremy,Maclin,PHI,WR,Jeremy Maclin
Toby,Gerhart,JAX,RB,Toby Gerhart
Colin,Kaepernick,SF,QB,Colin Kaepernick
Chris,Johnson,NYJ,RB,Chris Johnson
Mike,Wallace,MIA,WR,Mike Wallace
Joique,Bell,DET,RB,Joique Bell
Mike,Evans,TB,WR,Mike Evans
DeAndre,Hopkins,HOU,WR,DeAndre Hopkins
Jason,Witten,DAL,TE,Jason Witten
Rashad,Jennings,NYG,RB,Rashad Jennings
Tom,Brady,NE,QB,Tom Brady
Terrance,Williams,DAL,WR,Terrance Williams
Russell,Wilson,SEA,QB,Russell Wilson
Dennis,Pitta,BAL,TE,Dennis Pitta
Emmanuel,Sanders,DEN,WR,Emmanuel Sanders
Frank,Gore,SF,RB,Frank Gore
Kyle,Rudolph,MIN,TE,Kyle Rudolph
Marques,Colston,NO,WR,Marques Colston
Greg,Olsen,CAR,TE,Greg Olsen
Brandin,Cooks,NO,WR,Brandin Cooks
Stevan,Ridley,NE,RB,Stevan Ridley
Tony,Romo,DAL,QB,Tony Romo
Christine,Michael,SEA,RB,Christine Michael
Tavon,Austin,STL,WR,Tavon Austin
Golden,Tate,DET,WR,Golden Tate
Seahawks,D/ST,SEA,DST,Seattle Seahawks D/ST
Knowshon,Moreno,MIA,RB,Knowshon Moreno
Ladarius,Green,SD,TE,Ladarius Green
Jay,Cutler,CHI,QB,Jay Cutler
Rueben,Randle,NYG,WR,Rueben Randle
Pierre,Thomas,NO,RB,Pierre Thomas
Zach,Ertz,PHI,TE,Zach Ertz
Carlos,Hyde,SF,RB,Carlos Hyde
Cecil,Shorts,JAX,WR,Cecil Shorts
Reggie,Wayne,IND,WR,Reggie Wayne
Eric,Ebron,DET,TE,Eric Ebron
Steven,Jackson,ATL,RB,Steven Jackson
Philip,Rivers,SD,QB,Philip Rivers
Justin,Hunter,TEN,WR,Justin Hunter
Lamar,Miller,MIA,RB,Lamar Miller
Hakeem,Nicks,IND,WR,Hakeem Nicks
Jordan,Matthews,PHI,WR,Jordan Matthews
Maurice,Jones-Drew,OAK,RB,Maurice Jones-Drew
Darren,Sproles,PHI,RB,Darren Sproles
Dwayne,Bowe,KC,WR,Dwayne Bowe
Danny,Woodhead,SD,RB,Danny Woodhead
Riley,Cooper,PHI,WR,Riley Cooper
Bernard,Pierce,BAL,RB,Bernard Pierce
Kelvin,Benjamin,CAR,WR,Kelvin Benjamin
Andy,Dalton,CIN,QB,Andy Dalton
Charles,Clay,MIA,TE,Charles Clay
Marvin,Jones,CIN,WR,Marvin Jones
Devonta,Freeman,ATL,RB,Devonta Freeman
