firstname,surname,team,position,searchable_name
David,Silva,Man City,M,david silva
Eden,Hazard,Chelsea,M,eden hazard
Robin,van Persie,Man Utd,F,robin van persie
Wayne,Rooney,Man Utd,F,wayne rooney
Vincent,Kompany,Man City,D,vincent kompany
Mesut,Özil,Arsenal,M,mesut ozil
Juan,Mata,Man Utd,M,juan mata
Samir,Nasri,Man City,M,samir nasri
Cesc,Fàbregas,Chelsea,M,cesc fabregas
Sergio,Agüero,Man City,F,sergio aguero
Diego,Costa,Chelsea,F,diego costa  
Álvaro,Negredo,Man City,F,alvaro negredo
Santi,Cazorla,Arsenal,M,santi cazorla
Petr,Cech,Chelsea,G,petr cech
Theo,Walcott,Arsenal,M,theo walcott
Jack,Wilshere,Arsenal,M,jack wilshere
Jesús,Navas,Man City,M,jesus navas
Leighton,Baines,Everton,D,leighton baines
Yaya,Touré,Man City,M,yaya toure
Hugo,Lloris,Spurs,G,hugo lloris
Christian,Eriksen,Spurs,M,christian eriksen
David,De Gea,Man Utd,G,david de gea
Daniel,Sturridge,Leics,F,daniel sturridge
Ramires, ,Chelsea,M,ramires  
Joe,Hart,Man City,G,joe hart
Jan,Vertonghen,Spurs,D,jan vertonghen
Olivier,Giroud,Arsenal,F,olivier giroud
Hatem,Ben Arfa,N'castle,M,hatem ben arfa
Edin,Dzeko,Man City,F,edin dzeko
Roberto,Soldado,Spurs,F,roberto soldado
Christian,Benteke,Villa,F,christian benteke
Jonny,Evans,Man Utd,D,jonny evans
Danny,Welbeck,Man Utd,F,danny welbeck
Mousa,Dembélé,Spurs,M,mousa dembele
Alexis,Sánchez,Arsenal,M,alexis sanchez
Aaron,Ramsey,Arsenal,M,aaron ramsey
Paulinho, ,Spurs,M,paulinho  
Kevin,Mirallas,Everton,M,kevin mirallas
Dani,Osvaldo,So'ton,F,dani osvaldo
Lucas,Leiva,Leics,M,lucas leiva  
Laurent,Koscielny,Arsenal,D,laurent koscielny
Adnan,Januzaj,Man Utd,M,adnan januzaj
Coutinho, ,Leics,M,coutinho  
Sandro, ,Spurs,M,sandro  
Shinji,Kagawa,Man Utd,M,shinji kagawa
Thibaut,Courtois,Chelsea,G,thibaut courtois
Aaron,Lennon,Spurs,M,aaron lennon
Pablo,Zabaleta,Man City,D,pablo zabaleta
Gary,Cahill,Chelsea,D,gary cahill
Lukas,Podolski,Arsenal,F,lukas podolski
Fernandinho, ,Man City,M,fernandinho  
Nani, ,Man Utd,M,nani  
Daniel,Agger,Leics,D,daniel agger
Phil,Jones,Man Utd,D,phil jones
Oscar, ,Chelsea,M,oscar  
Alex,Oxlade-Chamberlain,Arsenal,M,alex oxlade-chamberlain
Javier,Hernández,Man Utd,F,javier hernandez
Stevan,Jovetic,Man City,F,stevan jovetic
Rafael, ,Man Utd,D,rafael  
Antonio,Valencia,Man Utd,M,antonio valencia
Erik,Lamela,Spurs,M,erik lamela
Romelu,Lukaku,Chelsea,F,romelu lukaku
Per,Mertesacker,Arsenal,D,per mertesacker
Glen,Johnson,Leics,D,glen johnson
Kyle,Walker,Spurs,D,kyle walker
Gaël,Clichy,Man City,D,gael clichy
Thomas,Vermaelen,Arsenal,D,thomas vermaelen
Marouane,Fellaini,Man Utd,M,marouane fellaini
Ashley,Young,Man Utd,M,ashley young
Fernando,Torres,Chelsea,F,fernando torres
Loïc,Rémy,QPR,F,loic remy
Chris,Smalling,Man Utd,D,chris smalling
Younes,Kaboul,Spurs,D,younes kaboul
José Manuel,Reina,Leics,G,jose manuel reina
Jordan,Henderson,Leics,M,jordan henderson
Willian, ,Chelsea,M,willian  
Adam,Lallana,Leics,M,adam lallana
James,Milner,Man City,M,james milner
Lewis,Holtby,Spurs,M,lewis holtby
Steven,Fletcher,S'land,F,steven fletcher
Abou,Diaby,Arsenal,M,abou diaby
César,Azpilicueta,Chelsea,D,cesar azpilicueta
Andros,Townsend,Spurs,M,andros townsend
Wilfried,Bony,Swansea,F,wilfried bony
John Obi,Mikel,Chelsea,M,john obi mikel
André,Schürrle,Chelsea,M,andre schurrle
Emanuele,Giaccherini,S'land,M,emanuele giaccherini
Ander,Herrera,Man Utd,M,ander herrera
Morgan,Schneiderlin,So'ton,M,morgan schneiderlin
Simon,Mignolet,Leics,G,simon mignolet
Mame,Diouf,Stoke,F,mame diouf
Seamus,Coleman,Everton,D,seamus coleman
John,Terry,Chelsea,D,john terry
